jday,jday_day,jday_time,Fd_7098,Fd_7085,dV_ 7098,dV_7085
209.6875,209,0.6875,0.07190832,NaN,-0.205,NaN
209.6944444,209,0.694444444,0.069652757,NaN,-0.206,NaN
209.7013889,209,0.701388889,0.065248125,NaN,-0.208,NaN
209.7083333,209,0.708333333,0.067431335,NaN,-0.207,NaN
209.7152778,209,0.715277778,0.065245941,NaN,-0.208,NaN
209.7222222,209,0.722222222,0.056847203,NaN,-0.212,NaN
209.7291667,209,0.729166667,0.054829825,NaN,-0.213,NaN
209.7361111,209,0.736111111,0.052844989,NaN,-0.214,NaN
209.7430556,209,0.743055556,0.052844179,NaN,-0.214,NaN
209.75,209,0.75,0.054827366,NaN,-0.213,NaN
209.7569444,209,0.756944444,0.0528427,NaN,-0.214,NaN
209.7638889,209,0.763888889,0.048970276,NaN,-0.216,NaN
209.7708333,209,0.770833333,0.045224049,NaN,-0.218,NaN
209.7777778,209,0.777777778,0.045223503,NaN,-0.218,NaN
209.7847222,209,0.784722222,0.043396796,NaN,-0.219,NaN
209.7916667,209,0.791666667,0.041600863,NaN,-0.22,NaN
209.7986111,209,0.798611111,0.03639605,NaN,-0.223,NaN
209.8055556,209,0.805555556,0.033075829,NaN,-0.225,NaN
209.8125,209,0.8125,0.031460032,NaN,-0.226,NaN
209.8194444,209,0.819444444,0.031459787,NaN,-0.226,NaN
209.8263889,209,0.826388889,0.033075085,NaN,-0.225,NaN
209.8333333,209,0.833333333,0.031459422,NaN,-0.226,NaN
